행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관명,주최기관명,전화번호,후원기관명,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
문화가 있는 날-음악사의 하이라이트2,창녕문화예술회관 대공연장,음악사,2019-09-25,2019-09-25,19:30,20:40,무료,한국문화예술회관연합회 등,경상남도 창녕군청,055-530-1911,,496,,8세 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
행복드림 국악 힐링 콘서트,창녕문화예술회관 대공연장,국악,2019-09-26,2019-09-26,19:30,21:00,유료,경남국악예술단 가인,경상남도 창녕군청,055-530-1911,,496,1층: 15000원+2층: 11000원,8세 이상,30퍼센트 할인: 창녕문화누리회원,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
포크콘서트 설레임,창녕문화예술회관 야외공연장,콘서트,2019-10-04,2019-10-04,19:30,21:30,무료,경상남도 창녕군청,경상남도 창녕군청,055-530-1911,,,,전체 관람가,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
뮤지컬 지하철 1호선,창녕문화예술회관 대공연장,뮤지컬,2019-10-08,2019-10-09,15:00,17:50,유료,극단학천,경상남도 창녕군청,055-530-1911,,496,1층: 20000원+2층: 15000원,14세 관람가,30퍼센트 할인: 창녕문화누리회원,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
뮤지컬 지하철 1호선,창녕문화예술회관 대공연장,뮤지컬,2019-10-08,2019-10-09,19:30,22:20,유료,극단학천,경상남도 창녕군청,055-530-1911,,496,1층: 20000원+2층: 15000원,14세 관람가,30퍼센트 할인: 창녕문화누리회원,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
창녕 트롯 가을콘서트,창녕문화예술회관 대공연장,콘서트,2019-10-24,2019-10-24,19:30,21:00,유료,라움쿤스트,경상남도 창녕군청,055-530-1911,,496,1층: 20000원+2층: 15000원,8세 이상,30퍼센트 할인: 창녕문화누리회원,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
클래식의 대중화를 위해 모두가 모이다,창녕문화예술회관 대공연장,클래식,2019-10-25,2019-10-25,19:30,20:40,유료,모모,경상남도 창녕군청,055-530-1911,,496,1층: 5000원+2층: 3000원,8세 이상,30퍼센트 할인: 창녕문화누리회원,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
문화가 있는 날-고희안의 재즈트리오,창녕문화예술회관 대공연장,재즈,2019-10-30,2019-10-30,19:30,20:40,무료,한국문화예술회관연합회 등,경상남도 창녕군청,055-530-1911,,496,,8세 이상,,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
국악콘서트 토선생 용궁가다,창녕문화예술회관 대공연장,국악,2019-11-14,2019-11-14,19:30,21:10,유료,한국문화예술회관연합회,경상남도 창녕군청,055-530-1911,,496,1층: 10000원+2층: 7000원,8세 이상,30퍼센트 할인: 창녕문화누리회원,,https://www.cng.go.kr/art.web,, ,경상남도 창녕군 창녕읍 군청1길 35,,35.544717,128.490241,2025-05-08,5410000,경상남도 창녕군
찾아가는 예술공연 완전한 나누美,완주문화예술회관,전주시립국악단의 국악관현악 공연,2024-06-07,2024-06-07,19:30,20:30,무료,전주시립국악단,전북특별자치도 완주군청+전북특별자치도 전주시청,063-290-2092,,478,,7세이상,,,culture.wanju.go.kr,culture.wanju.go.kr,Y,전북특별자치도 완주군 용진읍 지암로 61,,35.90528377,127.160721,2024-06-26,4721000,전북특별자치도 완주군
삼례문화예술촌 상설공연 운영,삼례문화예술촌 일원,마당극 및 앙상블 공연,2024-06-01,2024-12-28,14:00,15:00,무료,전북특별자치도 완주군청,전북특별자치도 완주군청,063-290-3861,,108,,전연령,,,http://www.samnyecav.kr/board/index.php,,Y,전북특별자치도 완주군 삼례읍 삼례역로 81-13,전북특별자치도 완주군 삼례읍 후정리 247-1,35.90623513,127.0658535,2024-06-26,4721000,전북특별자치도 완주군
예술무대-성악 명작 콘서트,고창문화의전당,콘서트,2024-03-28,2024-03-28,19:30,20:30,유료,전북특별자치도 고창군,전북특별자치도 고창군,063-560-8041,,625,3000,,,,,, ,전북특별자치도 고창군 고창읍 모양성로 11,,,,2024-06-02,4781000,전북특별자치도 고창군
행복 DREAM 매직쇼,고창문화의전당,마술쇼,2024-04-18,2024-04-18,19:30,20:30,유료,전북특별자치도 고창군,전북특별자치도 고창군,063-560-8041,,625,3000,,,,,, ,전북특별자치도 고창군 고창읍 모양성로 11,,,,2024-06-02,4781000,전북특별자치도 고창군
뮤지컬 3DIVA 콘서트,고창문화의전당,뮤지컬,2024-04-25,2024-04-25,19:30,20:30,유료,전북특별자치도 고창군,전북특별자치도 고창군,063-560-8041,,625,3000,,,,,, ,전북특별자치도 고창군 고창읍 모양성로 11,,,,2024-06-02,4781000,전북특별자치도 고창군
예술무대-봄이 오는 소리,고창문화의전당,연주회,2024-04-30,2024-04-30,19:30,20:30,유료,전북특별자치도 고창군,전북특별자치도 고창군,063-560-8041,,625,3000,,,,,, ,전북특별자치도 고창군 고창읍 모양성로 11,,,,2024-06-02,4781000,전북특별자치도 고창군
빵굽는 포포아저씨,고창문화의전당,뮤지컬,2024-05-09,2024-05-09,19:30,20:30,유료,전북특별자치도 고창군,전북특별자치도 고창군,063-560-8041,,625,3000,,,,,, ,전북특별자치도 고창군 고창읍 모양성로 11,,,,2024-06-02,4781000,전북특별자치도 고창군
예술무대-마루x풍류,고창문화의전당,전통연희,2024-05-28,2024-05-28,19:30,20:30,유료,전북특별자치도 고창군,전북특별자치도 고창군,063-560-8041,,625,3000,,,,,, ,전북특별자치도 고창군 고창읍 모양성로 11,,,,2024-06-02,4781000,전북특별자치도 고창군
수상한 흥신소,고창문화의전당,연극,2024-05-30,2024-05-30,19:30,20:30,유료,전북특별자치도 고창군,전북특별자치도 고창군,063-560-8041,,625,3000,,,,,, ,전북특별자치도 고창군 고창읍 모양성로 11,,,,2024-06-02,4781000,전북특별자치도 고창군
수박수영장,고창문화의전당,뮤지컬,2024-06-15,2024-06-15,19:30,20:30,유료,전북특별자치도 고창군,전북특별자치도 고창군,063-560-8041,,625,3000,,,,,, ,전북특별자치도 고창군 고창읍 모양성로 11,,,,2024-06-02,4781000,전북특별자치도 고창군
예술무대-맨쓰앙상블,고창문화의전당,콘서트,2024-06-25,2024-06-25,19:30,20:30,유료,전북특별자치도 고창군,전북특별자치도 고창군,063-560-8041,,625,3000,,,,,, ,전북특별자치도 고창군 고창읍 모양성로 11,,,,2024-06-02,4781000,전북특별자치도 고창군
헤비메탈걸스,고창문화의전당,연극,2024-06-27,2024-06-27,19:30,20:30,유료,전북특별자치도 고창군,전북특별자치도 고창군,063-560-8041,,625,3000,,,,,, ,전북특별자치도 고창군 고창읍 모양성로 11,,,,2024-06-02,4781000,전북특별자치도 고창군
오페라<순정대학vs밀당대학> 공연,완주문화예술회관,고전주의 오페라를 현대적으로 재해석한 오페라 뮤지컬 융합공연,2024-05-31,2024-05-31,19:00,20:30,무료,전북특별자치도 완주군청,문화체육관광부 예술경영지원센터,063-290-2597,,478,,7세이상,,,culture.wanju.go.kr,culture.wanju.go.kr,Y,전북특별자치도 완주군 용진읍 지암로 61,,35.90528377,127.160721,2024-06-26,4721000,전북특별자치도 완주군
긴긴밤,금나래아트홀,"연극 긴긴밤은 흰바위코뿔소 ‘노든’과 어린 펭귄이 함께 바다를 찾아가는 여정을 그린다. 2024년 대학로 초연에서 화제를 모았으며, 따뜻한 연대와 용기를 전하는 작품이다.",2025-08-08,2025-08-09,19:30,21:30,유료,금천문화재단,금천문화재단,070-8831-5347,,552,20000,8세 이상,"금천구민 20 청년/1인가구/청년문화 30, 다둥이/예술인패스, 문화예술종사자/복지/문화누리/경로/사회복지시설/금천구우수자원봉사자/단체 50",,https://gcfac.or.kr/,https://gcfac.or.kr/,Y,서울특별시 금천구 시흥대로73길 70,서울특별시 금천구 시흥동 1020,37.45706511,126.8960352,2025-08-22,3170000,서울특별시 금천구
클래식 <써머 뮤직>,금나래아트홀,명화와 함께하는 여름 음악회로 미디어 아트로 생동감 있는 연출과 클래식 선율이 여름 밤을 수놓는다.,2025-08-30,2025-08-30,14:00,15:30,무료,금천문화재단,금천문화재단,070-8831-5347,,552,0,8세 이상,,,https://gcfac.or.kr/,https://gcfac.or.kr/,Y,서울특별시 금천구 시흥대로73길 70,서울특별시 금천구 시흥동 1020,37.457070,126.8960369,2025-08-22,3170000,서울특별시 금천구
제25회 금천한가위축제,금천녹색광장,"금천문화원 문화학교 수강생 전시회 및 공연, 포토존 등 체험부스 운영",2025-09-25,2025-09-25,14:00,18:00,무료,금천문화원,금천문화원,02-896-8552,,,0,누구나,,,http://gc.or.kr/,,Y,,서울특별시 금천구 시흥동 411-26,37.44750748,126.9115663,2025-08-22,3170000,서울특별시 금천구
수리수리마하수리(가제),금나래아트홀,금천구 개청 30주년 특별 초청 공연으로 안은미 안무가의 수리수리마하수리가 펼쳐진다. 전통 소리와 몸짓을 현대적으로 재창조해 희망과 번영의 메시지를 전하는 무대다.,2025-09-20,2025-09-20,14:00,15:00,유료,금천문화재단,금천문화재단,070-8831-5347,,552,20000,8세 이상,"금천구민 20 청년/1인가구/청년문화 30, 다둥이/예술인패스, 문화예술종사자/복지/문화누리/경로/사회복지시설/금천구우수자원봉사자/단체 50",,https://gcfac.or.kr/,https://gcfac.or.kr/,Y,서울특별시 금천구 시흥대로73길 70,서울특별시 금천구 시흥동 1020,37.45706511,126.8960352,2025-08-22,3170000,서울특별시 금천구
수리수리마하수리(가제),금나래아트홀,금천구 개청 30주년 특별 초청 공연으로 안은미 안무가의 수리수리마하수리가 펼쳐진다. 전통 소리와 몸짓을 현대적으로 재창조해 희망과 번영의 메시지를 전하는 무대다.,2025-09-20,2025-09-20,18:00,19:00,유료,금천문화재단,금천문화재단,070-8831-5347,,552,20000,8세 이상,"금천구민 20 청년/1인가구/청년문화 30, 다둥이/예술인패스, 문화예술종사자/복지/문화누리/경로/사회복지시설/금천구우수자원봉사자/단체 50",,https://gcfac.or.kr/,https://gcfac.or.kr/,Y,서울특별시 금천구 시흥대로73길 70,서울특별시 금천구 시흥동 1020,37.45706511,126.8960352,2025-08-22,3170000,서울특별시 금천구
제6회 전통문화예술어울림한마당,금천구청 광장,"진안중평굿, 남도민요 등 전통공연",2025-10-16,2025-10-16,14:00,18:00,무료,금천문화원,금천문화원,02-896-8552,,,0,누구나,,,http://gc.or.kr/,,Y,서울특별시 금천구 시흥대로73길 70,서울특별시 금천구 시흥동 1020,37.45706511,126.8960352,2025-08-22,3170000,서울특별시 금천구
금천라이브,가산 SK V1-W센터,가산디지털단지 직장인과 청년층을 위한 공연 프로그램,2025-10-16,2025-10-17,12:00,13:00,무료,금천문화재단,금천문화재단,070-8831-5347,,,0,누구나,,,https://gcfac.or.kr/,https://gcfac.or.kr/,N,서울특별시 금천구 가산디지털1로 171,서울특별시 금천구 가산동 371-41,37.4807624,126.8806788,2025-08-22,3170000,서울특별시 금천구
제12회 박재홍가요제,금나래아트홀,노래경연 및 시상,2025-11-14,2025-11-14,19:00,21:30,무료,금천문화원,금천문화원,02-896-8552,,552,0,누구나,,,http://gc.or.kr/,,Y,서울특별시 금천구 시흥대로73길 70,서울특별시 금천구 시흥동 1020,37.45706511,126.8960352,2025-08-22,3170000,서울특별시 금천구
"크노크, 어쩌면 의학의 승리",금나래아트홀,"2022년 낭독 공연으로 선보인 크노크, 어쩌면 의학의 승리가 무대화된다. 블랙 유머와 풍자를 담아 현대인의 불안을 조명하며, 판소리와 민요로 생동감을 더한 작품이다",2025-11-20,2025-11-22,19:30,21:00,유료,금천문화재단,금천문화재단,070-8831-5345,,552,20000,8세 이상,"금천구민 20, 1인가구/청년문화/예술인패스, 문화예술종사자/문화누리 30, 다둥이 할인/복지/국가 유공자/경로우대/금천구 우수자원봉사자/금천문화재단 후원자/금천문화재단후원기업/단체 50",,https://gcfac.or.kr/,https://gcfac.or.kr/,Y,서울특별시 금천구 시흥대로73길 70,서울특별시 금천구 시흥동 1020,37.457070,126.8960369,2025-08-22,3170000,서울특별시 금천구
"크노크, 어쩌면 의학의 승리",금나래아트홀,"2023년 낭독 공연으로 선보인 크노크, 어쩌면 의학의 승리가 무대화된다. 블랙 유머와 풍자를 담아 현대인의 불안을 조명하며, 판소리와 민요로 생동감을 더한 작품이다",2025-11-20,2025-11-22,19:30,21:00,유료,금천문화재단,금천문화재단,070-8831-5346,,552,20000,8세 이상,"금천구민 20, 1인가구/청년문화/예술인패스, 문화예술종사자/문화누리 30, 다둥이 할인/복지/국가 유공자/경로우대/금천구 우수자원봉사자/금천문화재단 후원자/금천문화재단후원기업/단체 50",,https://gcfac.or.kr/,https://gcfac.or.kr/,Y,서울특별시 금천구 시흥대로73길 70,서울특별시 금천구 시흥동 1020,37.457070,126.8960369,2025-08-22,3170000,서울특별시 금천구
"크노크, 어쩌면 의학의 승리",금나래아트홀,"2024년 낭독 공연으로 선보인 크노크, 어쩌면 의학의 승리가 무대화된다. 블랙 유머와 풍자를 담아 현대인의 불안을 조명하며, 판소리와 민요로 생동감을 더한 작품이다",2025-11-20,2025-11-22,14:00,21:00,유료,금천문화재단,금천문화재단,070-8831-5347,,552,20000,8세 이상,"금천구민 20, 1인가구/청년문화/예술인패스, 문화예술종사자/문화누리 30, 다둥이 할인/복지/국가 유공자/경로우대/금천구 우수자원봉사자/금천문화재단 후원자/금천문화재단후원기업/단체 50",,https://gcfac.or.kr/,https://gcfac.or.kr/,Y,서울특별시 금천구 시흥대로73길 70,서울특별시 금천구 시흥동 1020,37.457070,126.8960369,2025-08-22,3170000,서울특별시 금천구
국립심포니오케스트라(가제),금나래아트홀,"창단 40주년을 맞은 국립심포니오케스트라가 깊어가는 가을밤, 웅장하고 섬세한 클래식 선율로 감동을 선사한다. 최정상급 연주와 함께하는 특별한 음악의 순간을 만나보자",2025-12-27,2025-12-27,17:00,18:20,유료,금천문화재단,금천문화재단,070-8831-5347,,552,20000,8세 이상,"금천구민 20, 1인가구/청년문화/예술인패스, 문화예술종사자/문화누리 30, 다둥이 할인/복지/국가 유공자/경로우대/금천구 우수자원봉사자/금천문화재단 후원자/금천문화재단후원기업/단체 50",,https://gcfac.or.kr/,https://gcfac.or.kr/,Y,서울특별시 금천구 시흥대로73길 70,서울특별시 금천구 시흥동 1020,37.457070,126.8960369,2025-08-22,3170000,서울특별시 금천구
2025 창원컨텐츠컨벤션(창원콘콘),창원컨벤션센터 제3전시장,"콘텐츠강연, e스포츠 대전, 콘텐츠 전시·체험 부스 운영 등",2025-09-27,2025-09-27,09:00,21:00,무료,경상남도 창원시,경상남도 창원시,055-225-7223,,,,,,,,, ,"경상남도 창원시 성산구 중앙대로 151, 문화예술과 (용호동) (용호동)",,35.22796138,128.6819403,2025-08-07,5670000,경상남도 창원시
트로트 효 콘서트,안성맞춤아트홀 대공연장,대중,2022-05-14,2022-05-14,17:00,20:50,유료,안성맞춤아트홀,경기도 안성시청 문화예술사업소,031-660-0666,경기도 안성시청,597,R 60000원+S 50000원+A 40000원,초등학생 이상,안성시민+국가유공자+장애인+관내 임직원+관내 학생+경로+국민기초수급자,1인 4매까지 예매 가능,www.anseong.go.kr/arthall,,Y,경기도 안성시 발화대길 21,경기도 안성시 현수동 619,37.00149106,127.2797381,2025-06-19,4080000,경기도 안성시
